Year,Trim,Color,Mileage,Price,Link
2015,ST3,Triple Yellow,89708,"$16,900.00",https://www.cars.com/vehicledetail/8c95bc5f-a9c9-4bfc-886e-c68c847447f8/
2018,ST1,Chili Pepper Red,70939,"$17,455.00",https://www.cars.com/vehicledetail/e5cad166-adf0-49d6-8eee-41c4bf38fc28/
2017,ST3,Magnetic Grey,128986,"$17,464.00",https://www.cars.com/vehicledetail/ac67082b-5794-487b-8054-47220e9bf72f/
2017,ST1,Magnetic Grey,56400,"$19,885.00",https://www.cars.com/vehicledetail/f349591e-4f6b-44c6-adb6-989fa888384b/
2017,ST1,Kona Blue Metallic,70959,"$19,495.00",https://www.cars.com/vehicledetail/48b1f3aa-3e88-4672-882a-31ca6a9e58d1/
2017,ST3,Kona Blue Metallic,57100,"$21,900.00",https://www.cars.com/vehicledetail/253d9605-c127-4f34-b718-917f05d763a8/
2017,ST1,Triple Yellow,70327,"$19,995.00",https://www.cars.com/vehicledetail/0f1368bb-acb4-4346-9d87-422c0fc792dc/
2015,ST1,Triple Yellow,68149,"$19,995.00",https://www.cars.com/vehicledetail/d843f3cd-8d16-4d8e-ba0a-108bd0f1abd1/
2017,ST1,Triple Yellow,45751,"$22,990.00",https://www.cars.com/vehicledetail/10f3b457-9f52-41f7-b881-94b3514be79f/
2017,ST3,Triple Yellow,37089,"$24,997.00",https://www.cars.com/vehicledetail/93e6601f-cfb2-44b8-a670-17dc6ca7df9e/
2018,ST1,Triple Yellow,36498,"$23,995.00",https://www.cars.com/vehicledetail/5a364fbc-9247-4523-8c9b-1eb707939f99/
2017,ST1,Kona Blue Metallic,52731,"$20,488.00",https://www.cars.com/vehicledetail/cfe88069-bab7-4fd3-bb4d-c991b2115f43/
