id,VIN,Stock Number,Color,Mileage,Year,Listing Name,Price,URL
8c95bc5f-a9c9-4bfc-886e-c68c847447f8,1FADP3L92FL278386,14304,Yellow,89708,2015,2015 Ford Focus ST Base,16900,https://www.cars.com/vehicledetail/8c95bc5f-a9c9-4bfc-886e-c68c847447f8/
5cad166-adf0-49d6-8eee-41c4bf38fc28,1FADP3L96JL242418,6412079A,Chili Pepper Red,70939,2018,2018 Ford Focus ST Base,17455,https://www.cars.com/vehicledetail/e5cad166-adf0-49d6-8eee-41c4bf38fc28/
67082b-5794-487b-8054-47220e9bf72f,1FADP3L92HL320428,P18802,Magnetic,128986,2017,2017 Ford Focus ST Base,17464,https://www.cars.com/vehicledetail/ac67082b-5794-487b-8054-47220e9bf72f/
f349591e-4f6b-44c6-adb6-989fa888384b,1FADP3L90HL316278,HL316278,Gray,56400,2017,2017 Ford Focus ST Base,19885,https://www.cars.com/vehicledetail/f349591e-4f6b-44c6-adb6-989fa888384b/
48b1f3aa-3e88-4672-882a-31ca6a9e58d1,1FADP3L9XHL281863,A2921,Kona Blue Metallic,70959,2017,2017 Ford Focus ST Base,19495,https://www.cars.com/vehicledetail/48b1f3aa-3e88-4672-882a-31ca6a9e58d1/
253d9605-c127-4f34-b718-917f05d763a8,1FADP3L91HL251389,,Blue,57100,2017,2017 Ford Focus ST Base,21900,https://www.cars.com/vehicledetail/253d9605-c127-4f34-b718-917f05d763a8/
0f1368bb-acb4-4346-9d87-422c0fc792,1FADP3L97HL270562,270562,Yellow,70327,2017,2017 Ford Focus ST Base,19995,https://www.cars.com/vehicledetail/0f1368bb-acb4-4346-9d87-422c0fc792dc/
843f3cd-8d16-4d8e-ba0a-108bd0f1abd1,1FADP3L90FL381175,AS16807,Tangerine Scream Metallic Tri-Coat,68149,2015,2015 Ford Focus ST Base,19995,https://www.cars.com/vehicledetail/d843f3cd-8d16-4d8e-ba0a-108bd0f1abd1/
10f3b457-9f52-41f7-b881-94b3514be79f,1FADP3L90HL222921,P7916,–,45751,2017,2017 Ford Focus ST Base,22990,https://www.cars.com/vehicledetail/10f3b457-9f52-41f7-b881-94b3514be79f/
93e6601f-cfb2-44b8-a670-17dc6ca7df9,1FADP3L98HL249896,W95845,Yellow,37089,2017,2017 Ford Focus ST Base,24997,https://www.cars.com/vehicledetail/93e6601f-cfb2-44b8-a670-17dc6ca7df9e/
5a364fbc-9247-4523-8c9b-1eb707939f99,1FADP3L95JL257038,CU8564N,Triple Yellow Tri-Coat,36498,2018,2018 Ford Focus ST Base,23995,https://www.cars.com/vehicledetail/5a364fbc-9247-4523-8c9b-1eb707939f99/
fe88069-bab7-4fd3-bb4d-c991b2115f43,1FADP3L92HL212780,7470,Wedgewood Blue,52731,2017,2017 Ford Focus ST ST,20488,https://www.cars.com/vehicledetail/cfe88069-bab7-4fd3-bb4d-c991b2115f43/
